municipio_cd,municipio_st,provincia_cd
44001,Ababuj,44
40001,Abades,40
10001,Abadía,10
27001,Abadín,27
48001,Abadiño,48
31001,Abáigar,31
09001,Abajas,09
26001,Ábalos,26
20001,Abaltzisketa,20
19001,Abánades,19
30001,Abanilla,30
50001,Abanto,50
48002,Abanto y Ciérvana-Abanto Zierbena,48
30002,Abarán,30
34001,Abarca de Campos,34
31002,Abárzuza/Abartzuza,31
31003,Abaurregaina/Abaurrea Alta,31
31004,Abaurrepea/Abaurrea Baja,31
15001,Abegondo,15
42001,Abejar,42
44002,Abejuela,44
25001,Abella de la Conca,25
02001,Abengibre,02
13001,Abenójar,13
31005,Aberin,31
10002,Abertura,10
49002,Abezames,49
16001,Abia de la Obispalía,16
34003,Abia de las Torres,34
22001,Abiego,22
22002,Abizanda,22
04001,Abla,04
19002,Ablanque,19
31006,Ablitas,31
08001,Abrera,08
04002,Abrucena,04
37001,Abusejo,37
28001,"Acebeda, La",28
24001,Acebedo,24
10003,Acebo,10
16002,"Acebrón, El",16
06001,Acedera,06
10004,Acehúche,10
10005,Aceituna,10
50002,Acered,50
06002,Aceuchal,06
22003,Adahuesca,22
47001,Adalia,47
14001,Adamuz,14
05001,Adanero,05
38001,Adeje,38
46001,Ademuz,46
31007,Adiós,31
19003,Adobes,19
46002,Ador,46
04003,Adra,04
09003,Adrada de Haza,09
40002,Adrada de Pirón,40
05002,"Adrada, La",05
42003,Adradas,42
40003,Adrados,40
20002,Aduna,20
35001,Agaete,35
37002,Agallas,37
25002,Àger,25
36020,Agolada,36
50003,Agón,50
26002,Agoncillo,26
03002,Agost,03
25003,Agramunt,25
42004,Ágreda,42
03003,Agres,03
18001,Agrón,18
41001,Aguadulce,41
50004,Aguarón,50
09006,Aguas Cándidas,09
47002,Aguasal,47
44003,Aguatón,44
44004,Aguaviva,44
13002,Agudo,13
22004,Agüero,22
40004,Aguilafuente,40
09007,Aguilar de Bureba,09
34004,Aguilar de Campoo,34
47003,Aguilar de Campos,47
31008,Aguilar de Codés,31
14002,Aguilar de la Frontera,14
08002,Aguilar de Segarra,08
44005,Aguilar del Alfambra,44
26003,Aguilar del Río Alhama,26
30003,Águilas,30
50005,Aguilón,50
35002,Agüimes,35
17001,Agullana,17
46004,Agullent,46
38002,Agulo,38
01051,Agurain/Salvatierra,01
10006,Ahigal,10
37003,Ahigal de los Aceiteros,37
37004,Ahigal de Villarino,37
06003,Ahillones,06
20016,Aia,20
31009,Aibar/Oibar,31
46042,Aielo de Malferit,46
46043,Aielo de Rugat,46
08014,Aiguafreda,08
43001,Aiguamúrcia,43
17002,Aiguaviva,17
03004,Aigües,03
12002,Aín,12
22907,Aínsa-Sobrarbe,22
50006,Ainzón,50
22006,Aisa,22
25038,Aitona,25
20003,Aizarnazabal,20
28002,Ajalvir,28
26004,Ajamil de Cameros,26
48911,Ajangiz,48
45001,Ajofrín,45
44006,Alacón,44
50007,Aladrén,50
47004,Alaejos,47
50008,Alagón,50
10903,Alagón del Río,10
07002,Alaior,07
21001,Alájar,21
38003,Alajeró,38
29001,Alameda,29
37005,"Alameda de Gardón, La",37
45002,Alameda de la Sagra,45
28003,Alameda del Valle,28
18002,Alamedilla,18
37006,"Alamedilla, La",37
13003,Alamillo,13
19004,Alaminos,19
28004,"Álamo, El",28
25004,"Alamús, Els",25
06004,Alange,06
41002,Alanís,41
46005,Alaquàs,46
34005,Alar del Rey,34
37007,Alaraz,37
50009,Alarba,50
16003,Alarcón,16
19005,Alarilla,19
07001,Alaró,07
25005,Alàs i Cerc,25
02002,Alatoz,02
44007,Alba,44
34006,Alba de Cerrato,34
37008,Alba de Tormes,37
37009,Alba de Yeltes,37
02003,Albacete,02
25006,"Albagés, L'",25
46006,Albaida,46
41003,Albaida del Aljarafe,41
46007,Albal,46
10007,Albalá,10
13004,Albaladejo,13
16004,Albaladejo del Cuende,16
46008,Albalat de la Ribera,46
46009,Albalat dels Sorells,46
46010,Albalat dels Tarongers,46
22007,Albalate de Cinca,22
16005,Albalate de las Nogueras,16
19006,Albalate de Zorita,19
44008,Albalate del Arzobispo,44
22008,Albalatillo,22
04004,Albanchez,04
23001,Albanchez de Mágina,23
17003,Albanyà,17
19007,Albares,19
44009,Albarracín,44
45003,Albarreal de Tajo,45
02004,Albatana,02
25007,Albatàrrec,25
03005,Albatera,03
22009,Albelda,22
26005,Albelda de Iregua,26
16006,Albendea,16
19008,Albendiego,19
44010,Albentosa,44
16007,"Alberca de Záncara, La",16
37010,"Alberca, La",37
37011,"Alberguería de Argañán, La",37
46011,Alberic,46
26006,Alberite,26
50010,Alberite de San Juan,50
22011,Albero Alto,22
22012,Albero Bajo,22
22013,Alberuela de Tubo,22
25008,Albesa,25
50011,Albeta,50
25009,"Albi, L'",25
09009,Albillos,09
43002,Albinyana,43
43003,"Albiol, L'",43
20004,Albiztur,20
12003,Albocàsser,12
04005,Alboloduy,04
18003,Albolote,18
18004,Albondón,18
17004,Albons,17
46012,Alborache,46
46013,Alboraia/Alboraya,46
02005,Alborea,02
50012,Alborge,50
05005,Albornos,05
04006,Albox,04
30004,Albudeite,30
06005,"Albuera, La",06
46014,Albuixech,46
18005,Albuñán,18
18006,Albuñol,18
18007,Albuñuelas,18
06006,Alburquerque,06
45004,Alcabón,45
02006,Alcadozo,02
44011,Alcaine,44
50013,Alcalá de Ebro,50
41004,Alcalá de Guadaíra,41
22014,Alcalá de Gurrea,22
28005,Alcalá de Henares,28
44012,Alcalá de la Selva,44
16008,Alcalá de la Vega,16
11001,Alcalá de los Gazules,11
50014,Alcalá de Moncayo,50
12004,Alcalà de Xivert,12
02007,Alcalá del Júcar,02
22015,Alcalá del Obispo,22
41005,Alcalá del Río,41
11002,Alcalá del Valle,11
23002,Alcalá la Real,23
03006,Alcalalí,03
22016,Alcampell,22
26007,Alcanadre,26
43004,Alcanar,43
25010,Alcanó,25
10008,Alcántara,10
30005,Alcantarilla,30
46016,Alcàntera de Xúquer,46
16009,Alcantud,16
49003,Alcañices,49
44013,Alcañiz,44
45005,Alcañizo,45
14003,Alcaracejos,14
02008,Alcaraz,02
25011,Alcarràs,25
46015,Alcàsser,46
29002,Alcaucín,29
23003,Alcaudete,23
45006,Alcaudete de la Jara,45
13005,Alcázar de San Juan,13
16010,Alcázar del Rey,16
47005,Alcazarén,47
30902,"Alcázares, Los",30
13006,Alcoba,13
28006,Alcobendas,28
19009,Alcocer,19
03007,Alcocer de Planes,03
09010,Alcocero de Mola,09
16011,Alcohujate,16
04007,Alcolea,04
13007,Alcolea de Calatrava,13
22017,Alcolea de Cinca,22
19010,Alcolea de las Peñas,19
45007,Alcolea de Tajo,45
19011,Alcolea del Pinar,19
41006,Alcolea del Río,41
03008,Alcoleja,03
25012,Alcoletge,25
10009,Alcollarín,10
42006,Alconaba,42
37012,Alconada,37
40005,Alconada de Maderuelo,40
06007,Alconchel,06
50015,Alconchel de Ariza,50
16012,Alconchel de la Estrella,16
06008,Alconera,06
04008,Alcóntar,04
12005,"Alcora, l'",12
28007,Alcorcón,28
44014,Alcorisa,44
19013,Alcoroches,19
43005,Alcover,43
03009,Alcoy/Alcoi,03
22018,Alcubierre,22
42007,Alcubilla de Avellaneda,42
42008,Alcubilla de las Peñas,42
49004,Alcubilla de Nogales,49
13008,Alcubillas,13
46018,Alcublas,46
07003,Alcúdia,07
46020,"Alcúdia de Crespins, l'",46
04009,Alcudia de Monteagud,04
12006,Alcudia de Veo,12
46019,"Alcúdia, l'",46
10010,Alcuéscar,10
46021,Aldaia,46
47006,Aldea de San Miguel,47
35020,"Aldea de San Nicolás, La",35
10012,Aldea del Cano,10
28008,Aldea del Fresno,28
37015,Aldea del Obispo,37
10013,"Aldea del Obispo, La",10
13009,Aldea del Rey,13
45008,Aldea en Cabo,45
43904,"Aldea, L'",43
40012,Aldea Real,40
10011,Aldeacentenera,10
37013,Aldeacipreste,37
